# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  016 000000048 002083.3 020368 203.7 521.4  008 000000096 001041.7 020170 201.7 516.4
000001.0 00000  016 000000064 001562.5 020223 202.2 517.7  008 000000128 000781.2 020267 202.7 518.8
000001.2 00000  016 000000080 001250.0 020096 201.0 514.5  008 000000160 000625.0 020148 201.5 515.8
000001.5 00000  016 000000096 001041.7 020076 200.8 513.9  008 000000192 000520.8 020107 201.1 514.7
000002.0 00000  016 000000128 000781.2 020248 202.5 518.3  008 000000256 000390.6 020276 202.8 519.1
000002.5 00000  016 000000160 000625.0 020015 200.2 512.4  008 000000320 000312.5 019956 199.6 510.9
000003.0 00000  016 000000192 000520.8 020145 201.4 515.7  008 000000384 000260.4 019958 199.6 510.9
000004.0 00001  016 000000256 000390.6 020087 200.9 514.2  008 000000512 000195.3 020048 200.5 513.2
000005.0 00001  016 000000320 000312.5 020037 200.4 512.9  008 000000640 000156.2 020167 201.7 516.3
000006.0 00001  016 000000384 000260.4 020053 200.5 513.4  008 000000768 000130.2 020041 200.4 513.0
000008.0 00002  016 000000512 000195.3 020340 203.4 520.7  008 000001024 000097.7 020587 205.9 527.0
000010.0 00002  016 000000640 000156.2 020193 201.9 516.9  008 000001280 000078.1 020042 200.4 513.1
000012.0 00003  016 000000768 000130.2 020048 200.5 513.2  008 000001536 000065.1 020086 200.9 514.2
000016.0 00004  016 000001024 000097.7 020198 202.0 517.1  008 000002048 000048.8 020072 200.7 513.8
000020.0 00005  016 000001280 000078.1 020195 201.9 517.0  008 000002560 000039.1 019988 199.9 511.7
