# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  016 000000048 002083.3 000325 003.2 008.3  008 000000096 001041.7 000325 003.2 008.3
000001.0 00000  016 000000064 001562.5 000334 003.3 008.6  008 000000128 000781.2 000325 003.2 008.3
000001.2 00000  016 000000080 001250.0 000328 003.3 008.4  008 000000160 000625.0 000330 003.3 008.4
000001.5 00000  016 000000096 001041.7 000328 003.3 008.4  008 000000192 000520.8 000330 003.3 008.4
000002.0 00000  016 000000128 000781.2 000332 003.3 008.5  008 000000256 000390.6 000333 003.3 008.5
000002.5 00000  016 000000160 000625.0 000329 003.3 008.4  008 000000320 000312.5 000336 003.4 008.6
000003.0 00000  016 000000192 000520.8 000326 003.3 008.3  008 000000384 000260.4 000330 003.3 008.4
000004.0 00001  016 000000256 000390.6 000329 003.3 008.4  008 000000512 000195.3 000329 003.3 008.4
000005.0 00001  016 000000320 000312.5 000330 003.3 008.4  008 000000640 000156.2 000328 003.3 008.4
000006.0 00001  016 000000384 000260.4 000329 003.3 008.4  008 000000768 000130.2 000329 003.3 008.4
000008.0 00002  016 000000512 000195.3 000329 003.3 008.4  008 000001024 000097.7 000329 003.3 008.4
000010.0 00002  016 000000640 000156.2 000330 003.3 008.4  008 000001280 000078.1 000327 003.3 008.4
000012.0 00003  016 000000768 000130.2 000330 003.3 008.4  008 000001536 000065.1 000329 003.3 008.4
000016.0 00004  016 000001024 000097.7 000327 003.3 008.4  008 000002048 000048.8 000329 003.3 008.4
000020.0 00005  016 000001280 000078.1 000329 003.3 008.4  008 000002560 000039.1 000330 003.3 008.4
